Feature,Importance
logged_in,0.08309876249169264
flag_SF,0.07778025112542422
same_srv_rate,0.07263282704706492
dst_host_same_srv_rate,0.05849932791630276
dst_host_srv_count,0.057790379909235245
dst_host_serror_rate,0.04951911554688591
dst_host_srv_serror_rate,0.04767026555675687
flag_S0,0.04283397821344717
serror_rate,0.04122624097562569
protocol_type_icmp,0.037447595066623755
service_http,0.03395019471504868
service_private,0.029741433033586357
srv_serror_rate,0.027809513234241648
count,0.024679351875777814
dst_host_same_src_port_rate,0.02439533914955393
src_bytes,0.02108207600253561
dst_host_srv_rerror_rate,0.020285993683392425
dst_host_rerror_rate,0.019285854835603113
srv_rerror_rate,0.018401869065673534
dst_host_count,0.018005373138174796
protocol_type_udp,0.016975595544294394
rerror_rate,0.016046533884128654
service_ecr_i,0.014580534140610462
service_eco_i,0.014469366362269793
service_domain_u,0.013183413178798788
protocol_type_tcp,0.011497566495272156
dst_host_srv_diff_host_rate,0.010703774427045478
hot,0.008748599854405716
srv_count,0.008364251391169825
dst_bytes,0.008264991829075707
srv_diff_host_rate,0.0075685927914777105
dst_host_diff_srv_rate,0.0072033623274258066
wrong_fragment,0.006480679377114346
diff_srv_rate,0.006340311156994687
num_compromised,0.005756566163069379
flag_REJ,0.005507108974147583
flag_RSTR,0.004520675111898476
service_ftp_data,0.004426882196596292
service_smtp,0.0044202731984340216
service_other,0.003809432120402332
service_urp_i,0.0022295630209731077
duration,0.0022255882569329807
is_guest_login,0.0011461593246978202
flag_RSTO,0.001104676436346924
service_ftp,0.0010876574348667803
flag_S1,0.0009503247324949828
service_IRC,0.0008593813823661798
service_telnet,0.0008032873511897145
service_finger,0.000454295094814666
num_root,0.0004501254870858918
flag_SH,0.00031301259527078594
service_ntp_u,0.0003009332796782963
root_shell,0.00029100684856195666
service_auth,0.00021538050934988455
num_file_creations,0.00021409613672525372
service_imap4,0.00020369570948483006
service_time,0.00016075160110234424
num_failed_logins,0.00015951721669550808
service_pm_dump,0.00012407730790775707
flag_S2,0.00012292994571232174
num_access_files,0.00010922656322866735
service_ssh,9.972793362484443e-05
service_X11,9.636626271194236e-05
flag_RSTOS0,9.522705844722213e-05
urgent,7.732264873383011e-05
service_Z39_50,7.698422279606624e-05
flag_OTH,7.479670121678084e-05
service_pop_3,7.226232493844039e-05
service_gopher,7.151909806243373e-05
service_whois,6.78256676815917e-05
service_courier,6.36487118217454e-05
flag_S3,6.257485876461744e-05
service_uucp_path,5.225651558337034e-05
service_urh_i,5.1699852955123064e-05
su_attempted,4.587195956779554e-05
service_supdup,4.208482329451515e-05
service_red_i,4.040800956513999e-05
num_shells,4.012149030077463e-05
service_tim_i,3.976065712603794e-05
service_uucp,3.8332576438817955e-05
service_nnsp,3.586032019149018e-05
service_daytime,3.087779206958831e-05
service_domain,2.862521530415578e-05
service_klogin,2.290104729284687e-05
land,1.8585388415397402e-05
service_nntp,1.2225010333201543e-05
service_mtp,1.0627010950934707e-05
service_discard,9.290976606916583e-06
service_ldap,9.267760397249601e-06
service_login,6.426328750471984e-06
service_ctf,6.390616592037191e-06
service_link,5.8220889773610265e-06
service_iso_tsap,5.734147843987325e-06
service_echo,5.415699511838881e-06
service_http_443,5.011731979565778e-06
service_csnet_ns,4.700307433557632e-06
service_shell,4.504161901524359e-06
service_netbios_ssn,4.427898069335525e-06
service_hostnames,4.0172804971639554e-06
service_bgp,3.893439572658954e-06
service_systat,3.5051681899349707e-06
service_remote_job,3.2601279061795876e-06
service_sql_net,3.2563157577222666e-06
service_efs,3.18766661114869e-06
service_name,2.8628980545416967e-06
service_netbios_ns,2.857787195864753e-06
service_rje,2.046431780352237e-06
service_sunrpc,1.8292667101244282e-06
service_pop_2,1.3910229923973216e-06
service_vmnet,1.2264830549614965e-06
service_kshell,7.187424228679084e-07
service_netstat,2.084499735951466e-07
service_exec,1.6352209661541507e-07
service_http_8001,1.37455930508366e-07
service_netbios_dgm,1.3114647929188493e-08
service_printer,6.075875725623511e-10
