Accuracy,Precision,Recall,F1-score,Model,CV F1 mean,CV F1 std,Training time,Prediction time,ROC AUC,Average Precision,Rank
0.8010113555713272,0.9703595176377775,0.670926517571885,0.7933290334469731,MLP Neural Network,0.9939462589999991,0.0005291813945414901,77.37920236587524,0.09820055961608887,0.9148314521575664,0.9287470201972868,1
0.794402058197303,0.9669628616997038,0.6614197771370685,0.7855258895932626,Decision Tree,0.9969763544671825,0.0002617110431352252,66.84097623825073,0.014611244201660156,0.8550387063562339,0.8709174823684454,2
0.7807842441447835,0.9629238531033674,0.6395231044962206,0.7685896235250047,Extra Trees,0.9969290256129014,0.00018249809394779403,37.499446868896484,0.20747971534729004,0.9601273179200568,0.963897921997421,3
0.771957061745919,0.9676556420233463,0.620120003116964,0.7558531604692026,Random Forest,0.997228371757609,0.0003677912160913817,27.7763729095459,0.15674972534179688,0.9640770251221095,0.9679414139026483,4
0.7685858765081618,0.9660954712362301,0.6150549364918569,0.7516069132981003,KNN,0.9956078193683501,0.00024204611665306508,72.71425294876099,10.467884063720703,0.8270428578468185,0.843280075834109,5
0.7546575585521647,0.9167808219178082,0.625808462557469,0.7438521743157505,Logistic Regression,0.9725944937895582,0.002029889338992778,16.967072010040283,0.014264583587646484,0.7785573277330691,0.8583494982039859,6
